"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]","re(Mode(4)) [g]","re(Mode(5)) [g]"
1,3.34224258522569,3.90398193481628,3.91545136786715,4.55022320397952,4.67793609683986
2,4.21318101397626,4.57467861532192,4.63448685635819,4.75384528923751,4.80691546872475
3,3.14038494168739,4.038732597682,4.35983469905246,4.60652157806489,4.62532518137388
4,3.49760274856142,4.15060479084455,4.35645246203317,4.64587286171561,4.77176643244821
5,3.55024824227176,4.08271932799062,4.76015056757413,4.85740261390933,4.91511357219104
6,4.22186738627621,4.41902415239311,4.81800653620828,4.92839394028389,5.2897090707278
7,4.37124806434272,4.64196695877279,4.89792320233636,4.97634932187083,5.41080644533332
8,4.45734621816715,4.77178766304645,4.94397328756441,4.99673433109501,5.44096008079544
9,4.50936451295167,4.85033380860105,4.97965895375558,5.01161297860661,5.47691982456847
10,4.54614384731133,4.89796841954766,4.99343632021741,5.014948007164,5.51157699133516
11,4.57508244064427,4.93196389483648,4.99582635993172,5.01983492164708,5.53929228918712
12,4.5964962244856,4.95629210917359,5.01092211962557,5.0240250842893,5.55965377040328
13,4.61199232951526,4.97370865407535,5.01268621786803,5.02684085997652,5.57787855150756
14,4.62319490928241,4.98562969915776,5.02249548811029,5.03069025172912,5.59361161037102
15,4.630328621016,4.99288894944416,5.02253260534495,5.03478840066029,5.60375165169371
16,,,,,
17,,,,,
18,,,,,
