pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
50um,5.197468651047785,248.9941542153593,39.13378528165134,-0.19438831131341858,-281.7299331730927
60um,5.194561692476053,248.700045870457,43.84385223910977,-0.24308377288670915,-281.3719161962746
70um,5.189338945036177,248.17212891673478,48.65212809834473,-0.2973175871741454,-280.7294224408526
80um,5.186228844794099,247.8580572627397,53.36939708516611,-0.3563391636019631,-280.34726986366724
90um,5.180822984762671,247.31267927181298,58.07353194899627,-0.4190037223142538,-279.68381953839923
100um,5.177821378216604,247.01014810405977,62.660183011288396,-0.48592697549413155,-279.3158727943968
110um,5.174589623515057,246.68465197816116,67.24346935860841,-0.5572977615309622,-278.92006023306715
125um,5.169917827654225,246.21454208977238,74.00193013093364,-0.6709232067190575,-278.3485117760109
135um,5.1668060159353,245.90168741684508,78.45166838918806,-0.7510359585042132,-277.96822812865867
145um,5.163682952273056,245.58792519017408,82.83768698938816,-0.8340211010130474,-277.58690364677443
155um,5.160830586596063,245.30155470728823,87.17031061324067,-0.9201839190728424,-277.23892363636816
165um,5.157882940575952,245.00581462363067,91.4719113898316,-1.0094332105885588,-276.8796128276575
175um,5.1549224373405815,244.70898536141056,95.69554558815629,-1.1006373137636518,-276.5190344730175
185um,5.152030494015074,244.4192243834672,99.92050798358821,-1.1955505294521505,-276.1670963162509
195um,5.149116209477859,244.12741907226456,104.08198022450463,-1.292398461338824,-275.8127289474592
205um,5.146246247156227,243.8402421601777,108.15607756376774,-1.3904633349261986,-275.4640349988046
215um,5.143377059055374,243.5533315872022,112.15034119273842,-1.489610693034399,-275.11571665727297
225um,5.1406609542458925,243.28190286434833,116.1531410018657,-1.5923299258745447,-274.78624180489794
